縣市,鄉鎮市區,號次,總統/副總統,得票數,得票率%
苗栗縣,三義鄉,3,蔡英文/賴清德,3972,38.9259
苗栗縣,頭份市,1,宋楚瑜/余湘,3126,5.2054
苗栗縣,頭份市,2,韓國瑜/張善政,32116,53.4794
苗栗縣,頭份市,3,蔡英文/賴清德,24811,41.3152
苗栗縣,南庄鄉,1,宋楚瑜/余湘,230,3.9635
苗栗縣,南庄鄉,2,韓國瑜/張善政,3744,64.5184
苗栗縣,南庄鄉,3,蔡英文/賴清德,1829,31.5182
苗栗縣,銅鑼鄉,1,宋楚瑜/余湘,451,4.1540
苗栗縣,銅鑼鄉,2,韓國瑜/張善政,6292,57.9534
苗栗縣,銅鑼鄉,3,蔡英文/賴清德,4114,37.8926
苗栗縣,公館鄉,1,宋楚瑜/余湘,938,4.6634
苗栗縣,公館鄉,2,韓國瑜/張善政,11043,54.9021
苗栗縣,公館鄉,3,蔡英文/賴清德,8133,40.4345
屏東縣,滿州鄉,1,宋楚瑜/余湘,118,2.8936
屏東縣,滿州鄉,2,韓國瑜/張善政,1559,38.2295
屏東縣,滿州鄉,3,蔡英文/賴清德,2401,58.8769
屏東縣,泰武鄉,1,宋楚瑜/余湘,95,2.8928
屏東縣,泰武鄉,2,韓國瑜/張善政,2392,72.8380
屏東縣,泰武鄉,3,蔡英文/賴清德,797,24.2692
苗栗縣,獅潭鄉,1,宋楚瑜/余湘,84,3.1285
苗栗縣,獅潭鄉,2,韓國瑜/張善政,1737,64.6927
苗栗縣,獅潭鄉,3,蔡英文/賴清德,864,32.1788
苗栗縣,卓蘭鎮,1,宋楚瑜/余湘,416,4.0526
苗栗縣,卓蘭鎮,2,韓國瑜/張善政,4363,42.5037
苗栗縣,卓蘭鎮,3,蔡英文/賴清德,5486,53.4437
屏東縣,新園鄉,1,宋楚瑜/余湘,601,2.6439
屏東縣,新園鄉,2,韓國瑜/張善政,5670,24.9428
屏東縣,萬巒鄉,1,宋楚瑜/余湘,252,1.9440
屏東縣,新園鄉,3,蔡英文/賴清德,16461,72.4133
屏東縣,萬巒鄉,2,韓國瑜/張善政,3684,28.4193
屏東縣,萬巒鄉,3,蔡英文/賴清德,9027,69.6367
屏東縣,潮州鎮,1,宋楚瑜/余湘,950,2.8202
屏東縣,枋寮鄉,1,宋楚瑜/余湘,373,2.4893
屏東縣,潮州鎮,2,韓國瑜/張善政,11543,34.2665
屏東縣,潮州鎮,3,蔡英文/賴清德,21193,62.9134
屏東縣,枋寮鄉,2,韓國瑜/張善政,4990,33.3022
屏東縣,枋寮鄉,3,蔡英文/賴清德,9621,64.2085
屏東縣,車城鄉,1,宋楚瑜/余湘,113,2.3690
屏東縣,車城鄉,2,韓國瑜/張善政,1616,33.8784
屏東縣,車城鄉,3,蔡英文/賴清德,3041,63.7526
屏東縣,崁頂鄉,1,宋楚瑜/余湘,245,2.7584
屏東縣,崁頂鄉,2,韓國瑜/張善政,2476,27.8766
屏東縣,崁頂鄉,3,蔡英文/賴清德,6161,69.3650
屏東縣,林邊鄉,1,宋楚瑜/余湘,264,2.3051
屏東縣,屏東市,1,宋楚瑜/余湘,3963,3.1931
屏東縣,屏東市,2,韓國瑜/張善政,48076,38.7366
屏東縣,屏東市,3,蔡英文/賴清德,72071,58.0703
屏東縣,林邊鄉,2,韓國瑜/張善政,3235,28.2459
屏東縣,林邊鄉,3,蔡英文/賴清德,7954,69.4491
屏東縣,內埔鄉,1,宋楚瑜/余湘,948,2.8051
屏東縣,內埔鄉,2,韓國瑜/張善政,10779,31.8953
屏東縣,內埔鄉,3,蔡英文/賴清德,22068,65.2996
屏東縣,牡丹鄉,1,宋楚瑜/余湘,100,3.6350
屏東縣,牡丹鄉,2,韓國瑜/張善政,2006,72.9189
屏東縣,牡丹鄉,3,蔡英文/賴清德,645,23.4460
屏東縣,九如鄉,1,宋楚瑜/余湘,360,2.5325
屏東縣,九如鄉,2,韓國瑜/張善政,3509,24.6852
屏東縣,九如鄉,3,蔡英文/賴清德,10346,72.7823
苗栗縣,苑裡鎮,1,宋楚瑜/余湘,1231,4.5029
苗栗縣,苑裡鎮,2,韓國瑜/張善政,9349,34.1978
苗栗縣,苑裡鎮,3,蔡英文/賴清德,16758,61.2993
屏東縣,枋山鄉,1,宋楚瑜/余湘,53,1.6495
屏東縣,枋山鄉,2,韓國瑜/張善政,1036,32.2440
屏東縣,枋山鄉,3,蔡英文/賴清德,2124,66.1064
屏東縣,春日鄉,1,宋楚瑜/余湘,80,2.9751
屏東縣,春日鄉,2,韓國瑜/張善政,2000,74.3771
屏東縣,春日鄉,3,蔡英文/賴清德,609,22.6478
屏東縣,麟洛鄉,1,宋楚瑜/余湘,201,2.6240
屏東縣,麟洛鄉,2,韓國瑜/張善政,2256,29.4517
屏東縣,麟洛鄉,3,蔡英文/賴清德,5203,67.9243
屏東縣,恆春鎮,1,宋楚瑜/余湘,384,2.3592
屏東縣,恆春鎮,2,韓國瑜/張善政,6620,40.6709
屏東縣,恆春鎮,3,蔡英文/賴清德,9273,56.9700
屏東縣,來義鄉,1,宋楚瑜/余湘,154,3.3996
屏東縣,來義鄉,2,韓國瑜/張善政,3375,74.5033
屏東縣,來義鄉,3,蔡英文/賴清德,1001,22.0971
屏東縣,琉球鄉,1,宋楚瑜/余湘,184,2.9440
屏東縣,琉球鄉,2,韓國瑜/張善政,3196,51.1360
屏東縣,琉球鄉,3,蔡英文/賴清德,2870,45.9200
屏東縣,鹽埔鄉,1,宋楚瑜/余湘,413,2.6390
屏東縣,鹽埔鄉,2,韓國瑜/張善政,5597,35.7636
屏東縣,鹽埔鄉,3,蔡英文/賴清德,9640,61.5974
屏東縣,萬丹鄉,1,宋楚瑜/余湘,870,2.6725
屏東縣,萬丹鄉,2,韓國瑜/張善政,9335,28.6754
屏東縣,萬丹鄉,3,蔡英文/賴清德,22349,68.6521
屏東縣,三地門鄉,1,宋楚瑜/余湘,141,2.9822
屏東縣,三地門鄉,2,韓國瑜/張善政,3348,70.8122
屏東縣,三地門鄉,3,蔡英文/賴清德,1239,26.2056
屏東縣,霧臺鄉,1,宋楚瑜/余湘,69,3.0886
屏東縣,霧臺鄉,2,韓國瑜/張善政,1496,66.9651
屏東縣,霧臺鄉,3,蔡英文/賴清德,669,29.9463
屏東縣,東港鎮,1,宋楚瑜/余湘,754,2.6262
屏東縣,東港鎮,2,韓國瑜/張善政,8169,28.4525
屏東縣,東港鎮,3,蔡英文/賴清德,19788,68.9213
屏東縣,佳冬鄉,1,宋楚瑜/余湘,219,1.8025
屏東縣,佳冬鄉,2,韓國瑜/張善政,3523,28.9959
屏東縣,佳冬鄉,3,蔡英文/賴清德,8408,69.2016
屏東縣,南州鄉,1,宋楚瑜/余湘,185,2.6527
屏東縣,南州鄉,2,韓國瑜/張善政,2067,29.6387
屏東縣,南州鄉,3,蔡英文/賴清德,4722,67.7086
宜蘭縣,宜蘭市,1,宋楚瑜/余湘,2432,4.2677
宜蘭縣,宜蘭市,2,韓國瑜/張善政,20740,36.3949
宜蘭縣,宜蘭市,3,蔡英文/賴清德,33814,59.3374
屏東縣,竹田鄉,1,宋楚瑜/余湘,252,2.2226
屏東縣,竹田鄉,2,韓國瑜/張善政,3357,29.6084
屏東縣,竹田鄉,3,蔡英文/賴清德,7729,68.1690
屏東縣,里港鄉,1,宋楚瑜/余湘,405,2.4424
屏東縣,里港鄉,2,韓國瑜/張善政,4596,27.7168
屏東縣,里港鄉,3,蔡英文/賴清德,11581,69.8408
屏東縣,獅子鄉,1,宋楚瑜/余湘,83,2.8193
屏東縣,獅子鄉,2,韓國瑜/張善政,2239,76.0530
屏東縣,獅子鄉,3,蔡英文/賴清德,622,21.1277
宜蘭縣,羅東鎮,1,宋楚瑜/余湘,1582,3.7948
宜蘭縣,羅東鎮,2,韓國瑜/張善政,13383,32.1020
宜蘭縣,羅東鎮,3,蔡英文/賴清德,26724,64.1032
宜蘭縣,蘇澳鎮,1,宋楚瑜/余湘,952,4.0069
宜蘭縣,蘇澳鎮,2,韓國瑜/張善政,7667,32.2699
宜蘭縣,蘇澳鎮,3,蔡英文/賴清德,15140,63.7232
屏東縣,長治鄉,1,宋楚瑜/余湘,557,2.8856
屏東縣,長治鄉,2,韓國瑜/張善政,6493,33.6373
屏東縣,長治鄉,3,蔡英文/賴清德,12253,63.4772
屏東縣,瑪家鄉,1,宋楚瑜/余湘,130,3.0726
屏東縣,瑪家鄉,2,韓國瑜/張善政,2989,70.6452
屏東縣,瑪家鄉,3,蔡英文/賴清德,1112,26.2822
宜蘭縣,礁溪鄉,1,宋楚瑜/余湘,896,4.0798
宜蘭縣,礁溪鄉,2,韓國瑜/張善政,6972,31.7457
宜蘭縣,礁溪鄉,3,蔡英文/賴清德,14094,64.1745
宜蘭縣,頭城鎮,1,宋楚瑜/余湘,812,4.8036
宜蘭縣,頭城鎮,2,韓國瑜/張善政,6569,38.8606
宜蘭縣,頭城鎮,3,蔡英文/賴清德,9523,56.3358
屏東縣,新埤鄉,1,宋楚瑜/余湘,173,2.7724
屏東縣,新埤鄉,2,韓國瑜/張善政,2154,34.5192
屏東縣,新埤鄉,3,蔡英文/賴清德,3913,62.7083
宜蘭縣,員山鄉,1,宋楚瑜/余湘,726,3.6624
宜蘭縣,員山鄉,2,韓國瑜/張善政,5747,28.9916
宜蘭縣,員山鄉,3,蔡英文/賴清德,13350,67.3460
屏東縣,高樹鄉,1,宋楚瑜/余湘,332,2.2003
屏東縣,高樹鄉,2,韓國瑜/張善政,3972,26.3238
屏東縣,高樹鄉,3,蔡英文/賴清德,10785,71.4759
宜蘭縣,南澳鄉,1,宋楚瑜/余湘,76,2.3884
宜蘭縣,南澳鄉,2,韓國瑜/張善政,2636,82.8410
宜蘭縣,南澳鄉,3,蔡英文/賴清德,470,14.7706
宜蘭縣,大同鄉,1,宋楚瑜/余湘,128,3.7780
宜蘭縣,大同鄉,2,韓國瑜/張善政,2568,75.7969
宜蘭縣,大同鄉,3,蔡英文/賴清德,692,20.4250
宜蘭縣,三星鄉,1,宋楚瑜/余湘,515,3.9036
宜蘭縣,三星鄉,2,韓國瑜/張善政,3853,29.2049
宜蘭縣,三星鄉,3,蔡英文/賴清德,8825,66.8915
基隆市,暖暖區,1,宋楚瑜/余湘,1306,5.5567
基隆市,暖暖區,2,韓國瑜/張善政,10660,45.3559
基隆市,暖暖區,3,蔡英文/賴清德,11537,49.0874
基隆市,中正區,1,宋楚瑜/余湘,1618,5.2118
基隆市,中正區,2,韓國瑜/張善政,13887,44.7318
基隆市,中正區,3,蔡英文/賴清德,15540,50.0564
新竹市,東區,1,宋楚瑜/余湘,6914,5.6114
新竹市,東區,2,韓國瑜/張善政,50693,41.1422
新竹市,東區,3,蔡英文/賴清德,65607,53.2464
新北市,烏來區,1,宋楚瑜/余湘,173,4.6883
新北市,烏來區,2,韓國瑜/張善政,1894,51.3279
新北市,烏來區,3,蔡英文/賴清德,1623,43.9837
宜蘭縣,壯圍鄉,1,宋楚瑜/余湘,575,3.7964
宜蘭縣,壯圍鄉,2,韓國瑜/張善政,4348,28.7072
宜蘭縣,壯圍鄉,3,蔡英文/賴清德,10223,67.4964
新竹市,香山區,1,宋楚瑜/余湘,2504,5.3000
新竹市,香山區,2,韓國瑜/張善政,16776,35.5085
新竹市,香山區,3,蔡英文/賴清德,27965,59.1914
基隆市,安樂區,1,宋楚瑜/余湘,2560,5.0698
基隆市,安樂區,2,韓國瑜/張善政,22200,43.9647
基隆市,安樂區,3,蔡英文/賴清德,25735,50.9654
基隆市,仁愛區,1,宋楚瑜/余湘,1305,5.0684
基隆市,仁愛區,2,韓國瑜/張善政,10742,41.7197
基隆市,仁愛區,3,蔡英文/賴清德,13701,53.2119
基隆市,中山區,1,宋楚瑜/余湘,1579,5.4300
基隆市,中山區,2,韓國瑜/張善政,12468,42.8763
基隆市,中山區,3,蔡英文/賴清德,15032,51.6937
基隆市,信義區,1,宋楚瑜/余湘,1695,5.0771
基隆市,信義區,2,韓國瑜/張善政,15785,47.2817
基隆市,信義區,3,蔡英文/賴清德,15905,47.6412
宜蘭縣,五結鄉,1,宋楚瑜/余湘,866,3.4305
宜蘭縣,五結鄉,2,韓國瑜/張善政,6897,27.3213
宜蘭縣,五結鄉,3,蔡英文/賴清德,17481,69.2481
基隆市,七堵區,1,宋楚瑜/余湘,1815,5.5085
基隆市,七堵區,2,韓國瑜/張善政,13618,41.3305
基隆市,七堵區,3,蔡英文/賴清德,17516,53.1609
新北市,泰山區,1,宋楚瑜/余湘,2052,4.3954
新北市,泰山區,2,韓國瑜/張善政,16715,35.8038
新北市,泰山區,3,蔡英文/賴清德,27918,59.8008
新北市,三重區,1,宋楚瑜/余湘,11087,4.5579
新北市,三重區,2,韓國瑜/張善政,78055,32.0889
新北市,三重區,3,蔡英文/賴清德,154104,63.3531
新竹市,北區,1,宋楚瑜/余湘,4685,5.1686
新竹市,北區,2,韓國瑜/張善政,35256,38.8954
新竹市,北區,3,蔡英文/賴清德,50702,55.9359
新北市,汐止區,1,宋楚瑜/余湘,5850,4.6120
新北市,中和區,1,宋楚瑜/余湘,12066,4.5644
新北市,汐止區,2,韓國瑜/張善政,53644,42.2913
新北市,汐止區,3,蔡英文/賴清德,67350,53.0967
新北市,中和區,2,韓國瑜/張善政,120502,45.5839
新北市,中和區,3,蔡英文/賴清德,131784,49.8517
新北市,平溪區,1,宋楚瑜/余湘,97,3.3810
新北市,平溪區,2,韓國瑜/張善政,1174,40.9202
新北市,平溪區,3,蔡英文/賴清德,1598,55.6988
新北市,土城區,1,宋楚瑜/余湘,6899,4.7549
新北市,土城區,2,韓國瑜/張善政,52751,36.3567
新北市,土城區,3,蔡英文/賴清德,85443,58.8884
新北市,淡水區,1,宋楚瑜/余湘,5054,4.7000
新北市,淡水區,2,韓國瑜/張善政,44807,41.6681
新北市,淡水區,3,蔡英文/賴清德,57672,53.6319
新北市,五股區,1,宋楚瑜/余湘,2391,4.5420
新北市,五股區,2,韓國瑜/張善政,17969,34.1343
新北市,五股區,3,蔡英文/賴清德,32282,61.3237
新北市,三芝區,1,宋楚瑜/余湘,512,3.7993
新北市,三芝區,2,韓國瑜/張善政,5605,41.5925
新北市,三芝區,3,蔡英文/賴清德,7359,54.6082
新北市,樹林區,1,宋楚瑜/余湘,5318,4.8274
新北市,樹林區,2,韓國瑜/張善政,38429,34.8841
新北市,樹林區,3,蔡英文/賴清德,66415,60.2885
新北市,新莊區,1,宋楚瑜/余湘,11772,4.6553
新北市,新莊區,2,韓國瑜/張善政,83491,33.0170
新北市,新莊區,3,蔡英文/賴清德,157610,62.3277
新北市,深坑區,1,宋楚瑜/余湘,617,4.1016
新北市,深坑區,2,韓國瑜/張善政,6374,42.3719
新北市,深坑區,3,蔡英文/賴清德,8052,53.5266
新北市,萬里區,1,宋楚瑜/余湘,462,3.5867
新北市,萬里區,2,韓國瑜/張善政,5206,40.4161
新北市,萬里區,3,蔡英文/賴清德,7213,55.9972
宜蘭縣,冬山鄉,1,宋楚瑜/余湘,1179,3.5587
宜蘭縣,冬山鄉,2,韓國瑜/張善政,8630,26.0489
宜蘭縣,冬山鄉,3,蔡英文/賴清德,23321,70.3924
新北市,板橋區,1,宋楚瑜/余湘,15719,4.5725
新北市,板橋區,2,韓國瑜/張善政,123922,36.0474
新北市,板橋區,3,蔡英文/賴清德,204134,59.3801
新北市,八里區,1,宋楚瑜/余湘,1083,4.6292
新北市,新店區,1,宋楚瑜/余湘,8175,4.2322
新北市,新店區,2,韓國瑜/張善政,99844,51.6893
新北市,新店區,3,蔡英文/賴清德,85143,44.0785
新北市,八里區,2,韓國瑜/張善政,8736,37.3413
新北市,八里區,3,蔡英文/賴清德,13576,58.0295
新北市,永和區,1,宋楚瑜/余湘,6286,4.5200
新北市,永和區,2,韓國瑜/張善政,69190,49.7516
新北市,永和區,3,蔡英文/賴清德,63595,45.7284
新北市,金山區,1,宋楚瑜/余湘,465,3.6266
新北市,金山區,2,韓國瑜/張善政,4693,36.6012
新北市,金山區,3,蔡英文/賴清德,7664,59.7723
新北市,蘆洲區,1,宋楚瑜/余湘,5504,4.5399
新北市,蘆洲區,2,韓國瑜/張善政,36875,30.4156
新北市,蘆洲區,3,蔡英文/賴清德,78858,65.0445
新北市,雙溪區,1,宋楚瑜/余湘,191,3.6937
新北市,雙溪區,2,韓國瑜/張善政,2165,41.8681
新北市,雙溪區,3,蔡英文/賴清德,2815,54.4382
新北市,瑞芳區,1,宋楚瑜/余湘,1023,4.3843
新北市,瑞芳區,2,韓國瑜/張善政,10072,43.1663
新北市,瑞芳區,3,蔡英文/賴清德,12238,52.4493
新北市,鶯歌區,1,宋楚瑜/余湘,2510,4.8558
新北市,貢寮區,1,宋楚瑜/余湘,234,3.3107
新北市,貢寮區,2,韓國瑜/張善政,2113,29.8953
新北市,貢寮區,3,蔡英文/賴清德,4721,66.7940
新北市,鶯歌區,2,韓國瑜/張善政,18102,35.0196
新北市,鶯歌區,3,蔡英文/賴清德,31079,60.1246
新北市,石門區,1,宋楚瑜/余湘,249,3.5791
新北市,石門區,2,韓國瑜/張善政,2871,41.2678
新北市,石門區,3,蔡英文/賴清德,3837,55.1531
新北市,坪林區,1,宋楚瑜/余湘,132,3.1564
新北市,坪林區,2,韓國瑜/張善政,1362,32.5681
新北市,坪林區,3,蔡英文/賴清德,2688,64.2755
新北市,林口區,1,宋楚瑜/余湘,3501,5.3293
新北市,林口區,2,韓國瑜/張善政,26140,39.7905
新北市,林口區,3,蔡英文/賴清德,36053,54.8802
臺南市,北區,1,宋楚瑜/余湘,3215,3.9288
臺南市,北區,2,韓國瑜/張善政,26684,32.6087
臺南市,北區,3,蔡英文/賴清德,51932,63.4625
新北市,三峽區,1,宋楚瑜/余湘,3027,4.5559
新北市,三峽區,2,韓國瑜/張善政,25338,38.1355
新北市,三峽區,3,蔡英文/賴清德,38077,57.3086
新北市,石碇區,1,宋楚瑜/余湘,171,3.5640
新北市,石碇區,2,韓國瑜/張善政,1592,33.1805
新北市,石碇區,3,蔡英文/賴清德,3035,63.2555
臺南市,柳營區,1,宋楚瑜/余湘,487,3.6015
臺南市,柳營區,2,韓國瑜/張善政,3578,26.4606
臺南市,柳營區,3,蔡英文/賴清德,9457,69.9379
臺南市,善化區,1,宋楚瑜/余湘,1021,3.3901
臺南市,善化區,2,韓國瑜/張善政,7582,25.1752
臺南市,善化區,3,蔡英文/賴清德,21514,71.4347
臺南市,新營區,1,宋楚瑜/余湘,1720,3.7225
臺南市,新營區,2,韓國瑜/張善政,15517,33.5822
臺南市,新營區,3,蔡英文/賴清德,28969,62.6953
臺南市,玉井區,1,宋楚瑜/余湘,280,3.3425
臺南市,玉井區,2,韓國瑜/張善政,3452,41.2081
臺南市,玉井區,3,蔡英文/賴清德,4645,55.4494
臺南市,楠西區,1,宋楚瑜/余湘,167,2.9500
臺南市,楠西區,2,韓國瑜/張善政,2769,48.9136
臺南市,楠西區,3,蔡英文/賴清德,2725,48.1364
臺南市,後壁區,1,宋楚瑜/余湘,447,3.0608
臺南市,後壁區,2,韓國瑜/張善政,3822,26.1709
臺南市,後壁區,3,蔡英文/賴清德,10335,70.7683
臺南市,龍崎區,1,宋楚瑜/余湘,96,3.6023
臺南市,龍崎區,2,韓國瑜/張善政,876,32.8705
臺南市,龍崎區,3,蔡英文/賴清德,1693,63.5272
臺南市,東區,1,宋楚瑜/余湘,4461,3.8961
臺南市,東區,2,韓國瑜/張善政,41044,35.8463
臺南市,東區,3,蔡英文/賴清德,68995,60.2576
臺南市,鹽水區,1,宋楚瑜/余湘,427,2.7465
臺南市,鹽水區,2,韓國瑜/張善政,4021,25.8635
臺南市,鹽水區,3,蔡英文/賴清德,11099,71.3900
臺南市,東山區,1,宋楚瑜/余湘,356,2.9831
臺南市,東山區,2,韓國瑜/張善政,3638,30.4843
臺南市,東山區,3,蔡英文/賴清德,7940,66.5326
臺南市,麻豆區,1,宋楚瑜/余湘,767,2.7083
臺南市,麻豆區,2,韓國瑜/張善政,5883,20.7733
臺南市,麻豆區,3,蔡英文/賴清德,21670,76.5184
臺南市,學甲區,1,宋楚瑜/余湘,446,2.8079
臺南市,學甲區,2,韓國瑜/張善政,3581,22.5447
臺南市,學甲區,3,蔡英文/賴清德,11857,74.6474
臺南市,歸仁區,1,宋楚瑜/余湘,1455,3.3688
臺南市,歸仁區,2,韓國瑜/張善政,11285,26.1287
臺南市,歸仁區,3,蔡英文/賴清德,30450,70.5024
臺南市,安南區,1,宋楚瑜/余湘,4307,3.6554
臺南市,安南區,2,韓國瑜/張善政,29236,24.8126
臺南市,安南區,3,蔡英文/賴清德,84284,71.5320
臺南市,安定區,1,宋楚瑜/余湘,600,3.1086
臺南市,安定區,2,韓國瑜/張善政,4706,24.3822
臺南市,安定區,3,蔡英文/賴清德,13995,72.5092
臺南市,左鎮區,1,宋楚瑜/余湘,70,2.4493
臺南市,左鎮區,2,韓國瑜/張善政,927,32.4353
臺南市,左鎮區,3,蔡英文/賴清德,1861,65.1155
臺南市,下營區,1,宋楚瑜/余湘,434,2.9416
臺南市,安平區,1,宋楚瑜/余湘,1523,3.7578
臺南市,下營區,2,韓國瑜/張善政,3987,27.0232
臺南市,安平區,2,韓國瑜/張善政,12944,31.9376
臺南市,下營區,3,蔡英文/賴清德,10333,70.0352
臺南市,安平區,3,蔡英文/賴清德,26062,64.3046
臺南市,山上區,1,宋楚瑜/余湘,139,3.0402
臺南市,山上區,2,韓國瑜/張善政,1285,28.1059
臺南市,山上區,3,蔡英文/賴清德,3148,68.8539
臺南市,永康區,1,宋楚瑜/余湘,5562,3.8659
臺南市,永康區,2,韓國瑜/張善政,44565,30.9755
臺南市,永康區,3,蔡英文/賴清德,93745,65.1586
臺南市,大內區,1,宋楚瑜/余湘,192,3.1558
臺南市,大內區,2,韓國瑜/張善政,1643,27.0053
臺南市,大內區,3,蔡英文/賴清德,4249,69.8389
臺南市,七股區,1,宋楚瑜/余湘,397,2.8770
臺南市,七股區,2,韓國瑜/張善政,3173,22.9944
臺南市,七股區,3,蔡英文/賴清德,10229,74.1286
臺南市,白河區,1,宋楚瑜/余湘,454,2.6870
臺南市,白河區,2,韓國瑜/張善政,4611,27.2905
臺南市,白河區,3,蔡英文/賴清德,11831,70.0225
臺南市,佳里區,1,宋楚瑜/余湘,1171,3.1883
臺南市,佳里區,2,韓國瑜/張善政,9486,25.8277
臺南市,佳里區,3,蔡英文/賴清德,26071,70.9840
臺南市,中西區,1,宋楚瑜/余湘,1891,3.9453
臺南市,中西區,2,韓國瑜/張善政,14708,30.6858
臺南市,中西區,3,蔡英文/賴清德,31332,65.3690
臺南市,關廟區,1,宋楚瑜/余湘,729,3.2269
臺南市,關廟區,2,韓國瑜/張善政,6082,26.9222
臺南市,關廟區,3,蔡英文/賴清德,15780,69.8508
臺南市,將軍區,1,宋楚瑜/余湘,274,2.2919
臺南市,將軍區,2,韓國瑜/張善政,2525,21.1209
臺南市,將軍區,3,蔡英文/賴清德,9156,76.5872
臺南市,西港區,1,宋楚瑜/余湘,452,2.8729
臺南市,西港區,2,韓國瑜/張善政,3445,21.8967
臺南市,西港區,3,蔡英文/賴清德,11836,75.2304
臺南市,仁德區,1,宋楚瑜/余湘,1836,3.7588
臺南市,仁德區,2,韓國瑜/張善政,14785,30.2692
臺南市,仁德區,3,蔡英文/賴清德,32224,65.9720
高雄市,彌陀區,1,宋楚瑜/余湘,453,3.6339
高雄市,彌陀區,2,韓國瑜/張善政,4151,33.2986
高雄市,彌陀區,3,蔡英文/賴清德,7862,63.0675
臺南市,官田區,1,宋楚瑜/余湘,384,2.8009
臺南市,官田區,2,韓國瑜/張善政,3186,23.2385
臺南市,官田區,3,蔡英文/賴清德,10140,73.9606
臺南市,北門區,1,宋楚瑜/余湘,147,2.2904
臺南市,北門區,2,韓國瑜/張善政,1688,26.3010
臺南市,北門區,3,蔡英文/賴清德,4583,71.4085
臺南市,六甲區,1,宋楚瑜/余湘,442,3.3057
臺南市,六甲區,2,韓國瑜/張善政,3243,24.2540
臺南市,六甲區,3,蔡英文/賴清德,9686,72.4404
高雄市,茂林區,1,宋楚瑜/余湘,20,1.7182
高雄市,茂林區,2,韓國瑜/張善政,877,75.3436
高雄市,茂林區,3,蔡英文/賴清德,267,22.9381
高雄市,杉林區,1,宋楚瑜/余湘,154,2.3009
高雄市,杉林區,2,韓國瑜/張善政,2820,42.1336
高雄市,杉林區,3,蔡英文/賴清德,3719,55.5655
高雄市,新興區,1,宋楚瑜/余湘,1072,3.2382
高雄市,新興區,2,韓國瑜/張善政,12034,36.3510
高雄市,新興區,3,蔡英文/賴清德,19999,60.4108
高雄市,林園區,1,宋楚瑜/余湘,1259,2.9017
高雄市,林園區,2,韓國瑜/張善政,12247,28.2267
高雄市,林園區,3,蔡英文/賴清德,29882,68.8716
高雄市,桃源區,1,宋楚瑜/余湘,64,2.8033
高雄市,桃源區,2,韓國瑜/張善政,1674,73.3246
高雄市,桃源區,3,蔡英文/賴清德,545,23.8721
高雄市,內門區,1,宋楚瑜/余湘,245,2.7153
高雄市,內門區,2,韓國瑜/張善政,3400,37.6815
高雄市,內門區,3,蔡英文/賴清德,5378,59.6032
高雄市,湖內區,1,宋楚瑜/余湘,665,3.4991
高雄市,湖內區,2,韓國瑜/張善政,5553,29.2186
高雄市,湖內區,3,蔡英文/賴清德,12787,67.2823
臺南市,新市區,1,宋楚瑜/余湘,774,3.3768
臺南市,新市區,2,韓國瑜/張善政,5612,24.4841
臺南市,新市區,3,蔡英文/賴清德,16535,72.1391
高雄市,楠梓區,1,宋楚瑜/余湘,3938,3.3805
高雄市,楠梓區,2,韓國瑜/張善政,41889,35.9590
高雄市,楠梓區,3,蔡英文/賴清德,70664,60.6605
臺南市,南區,1,宋楚瑜/余湘,2790,3.4268
臺南市,南區,2,韓國瑜/張善政,23551,28.9264
臺南市,南區,3,蔡英文/賴清德,55076,67.6468
高雄市,大寮區,1,宋楚瑜/余湘,2164,3.0133
高雄市,大寮區,2,韓國瑜/張善政,23000,32.0263
高雄市,大寮區,3,蔡英文/賴清德,46652,64.9605
高雄市,路竹區,1,宋楚瑜/余湘,1266,3.8832
高雄市,路竹區,2,韓國瑜/張善政,10062,30.8631
高雄市,路竹區,3,蔡英文/賴清德,21274,65.2537
高雄市,鼓山區,1,宋楚瑜/余湘,2717,3.1226
高雄市,鼓山區,2,韓國瑜/張善政,33270,38.2370
高雄市,鼓山區,3,蔡英文/賴清德,51023,58.6404
高雄市,仁武區,1,宋楚瑜/余湘,1810,3.1894
高雄市,仁武區,2,韓國瑜/張善政,17726,31.2352
高雄市,仁武區,3,蔡英文/賴清德,37214,65.5753
高雄市,小港區,1,宋楚瑜/余湘,2860,2.8965
高雄市,小港區,2,韓國瑜/張善政,31074,31.4702
高雄市,小港區,3,蔡英文/賴清德,64807,65.6333
高雄市,鳳山區,1,宋楚瑜/余湘,7295,3.2010
高雄市,鳳山區,2,韓國瑜/張善政,82432,36.1704
高雄市,鳳山區,3,蔡英文/賴清德,138172,60.6286
高雄市,那瑪夏區,1,宋楚瑜/余湘,27,1.6854
高雄市,那瑪夏區,2,韓國瑜/張善政,1145,71.4732
高雄市,那瑪夏區,3,蔡英文/賴清德,430,26.8414
高雄市,岡山區,1,宋楚瑜/余湘,2130,3.4376
高雄市,岡山區,2,韓國瑜/張善政,22257,35.9210
高雄市,岡山區,3,蔡英文/賴清德,37574,60.6414
臺南市,新化區,1,宋楚瑜/余湘,1000,3.6313
臺南市,新化區,2,韓國瑜/張善政,8446,30.6703
臺南市,新化區,3,蔡英文/賴清德,18092,65.6983
高雄市,橋頭區,1,宋楚瑜/余湘,800,3.1020
高雄市,橋頭區,2,韓國瑜/張善政,6913,26.8050
